ind,node_id,xcor,ycor,PR_score,PR_rank,WPR_score,WPR_rank,DDPR_score,DDPR_rank,GPR_score,GPR_rank,eDDPR_score,eDDPR_rank,eGPR_score,eGPR_rank
36,36,273822.830173,2687215.61968,0.017284726587052227,24.0,0.017508182107354088,24.0,0.025787559400669922,52.0,0.026526006551957977,50.0,0.018568494393853864,46.0,0.02033473485651777,44.0
30,30,212043.278517,2701419.80632,0.01697045883092399,18.5,0.01617659298960805,16.0,0.0313832211407271,60.0,0.02663695688089672,51.0,0.01829968784255229,41.0,0.018866453073106183,34.0
56,56,214669.42836199998,2697466.94918,0.010685103708359569,3.0,0.0041128554472861095,3.0,0.02610887947863331,53.0,0.005425745331089155,7.0,0.011650845442472049,4.0,0.0031826350783796206,4.0
48,48,207820.98785499998,2695713.83828,0.017913262099308658,45.5,0.019096426727492344,46.0,0.027919943250822293,57.0,0.030570411175164396,59.0,0.019092765107866255,52.0,0.022832935118147317,52.0
21,21,211145.939601,2693615.11554,0.017913262099308658,45.5,0.019096426727492344,46.0,0.02776259332484159,56.0,0.028034790317735578,56.0,0.019617371152412633,58.0,0.02396798731679781,58.0
50,50,214132.43123699998,2691344.0534599996,0.017913262099308658,45.5,0.019096426727492344,46.0,0.015874250651152062,29.0,0.018217457098827244,33.0,0.017772405385601795,35.0,0.019129608944156606,36.0
27,27,220907.11953400003,2689650.57622,0.016656191074795774,13.0,0.01583227223362775,13.5,0.023987109225589495,45.0,0.022352499247493468,40.0,0.017569169843853656,32.0,0.017129947556279154,26.0
52,52,217544.070427,2690322.58048,0.017913262099308658,45.5,0.019096426727492344,46.0,0.029558439750650846,58.0,0.029677607216720817,58.0,0.01964710608224291,59.0,0.024214387434924597,59.0
47,47,201341.24043499999,2687466.0707799997,0.017598994343180442,29.0,0.01831984213186444,31.0,0.014382981092621719,26.0,0.015304926119966433,31.0,0.01824873567666911,40.0,0.019538953598638234,40.0
55,55,209753.586332,2687859.82878,0.016970458830923994,22.0,0.01590721026449985,15.0,0.003521039683829037,3.0,0.003362849780374978,4.0,0.01483526324542197,7.0,0.01028383231970967,6.0
6,6,205187.324911,2686494.87737,0.01697045883092399,18.5,0.01668529340354006,19.5,0.027323924532990172,55.0,0.027828426958987525,55.0,0.018578384286533495,47.0,0.020038558243238008,43.0
46,46,227428.224259,2686074.75845,0.01697045883092399,18.5,0.01668529340354006,19.5,0.024088613257486235,47.0,0.024768994546597676,47.0,0.018622775858556727,48.0,0.02000356824452705,42.0
14,14,201760.990222,2684339.63833,0.017913262099308658,45.5,0.019096426727492344,46.0,0.02358714077330796,44.0,0.026684743354744054,52.0,0.0193087118229966,55.0,0.023278178960789393,56.0
49,49,215808.913333,2684670.3246299997,0.017913262099308658,45.5,0.019096426727492344,46.0,0.020974197962580106,39.0,0.025156969110500096,48.0,0.01748607710445191,30.0,0.01855595490753505,33.0
44,44,205090.363931,2684136.68858,0.0025141420490257774,2.0,4.0636601397659295e-05,2.0,0.01303979376873577,24.0,2.2163648931955207e-05,2.0,0.0030009510981462966,2.0,7.956283878294654e-06,2.0
37,37,233079.404071,2683365.99579,0.017913262099308658,45.5,0.019096426727492344,46.0,0.02403916182984581,46.0,0.027034314794156813,53.0,0.01843741996706443,45.0,0.021037778094774442,49.0
32,32,221671.53650500003,2683553.9988599997,0.017598994343180442,29.0,0.01831984213186444,31.0,0.010592082045579918,17.0,0.011597749033845375,20.0,0.017548968395784993,31.0,0.018147614140062315,30.0
9,9,219216.21976900002,2682467.61597,0.017913262099308658,45.5,0.019096426727492344,46.0,0.025022464434901005,51.0,0.02708631472218518,54.0,0.019410908882232035,57.0,0.02328993026778234,57.0
19,19,202105.57301700002,2682511.10971,0.017913262099308658,45.5,0.019096426727492344,46.0,0.024772258300786863,50.0,0.02965136595947821,57.0,0.01780876127331334,36.0,0.019429721157482878,39.0
16,16,204501.59677899998,2681420.19172,0.017913262099308658,45.5,0.019096426727492344,46.0,0.018439233013693546,32.0,0.020685138612221283,34.0,0.01744169607544767,28.0,0.01844664468342152,32.0
40,40,212929.507178,2680125.73593,0.016656191074795785,14.0,0.015726658105262855,12.0,0.008758101123337986,11.0,0.008291689649060189,14.0,0.0153630950023349,9.0,0.012294769704999535,11.0
33,33,206864.234243,2680339.1050400003,0.017913262099308658,45.5,0.019096426727492337,33.0,0.030326611884348056,59.0,0.0328765357645924,60.0,0.019255484978573958,54.0,0.023275209681209802,55.0
